Row,Class,Block,V2 Length,V2 Width,V2 Area,V3 Length,V3 Width,V3 Area,V4 Length,V4 Width,V4 Area,V5 Length,V5 Width,V5 Area,V6 Length,V6 Width,V6 Area,V7 Length,V7 Width,V7 Area,V8 Length,V8 Width,V8 Area,V9 Length,V9 Width,V9 Area,V10 Length,V10 Width,V10 Area,V11 Length,V11 Width,V11 Area,V12 Length,V12 Width,V12 Area,V13 Length,V13 Width,V13 Area,V14 Length,V14 Width,V14 Area,V15 Length,V15 Width,V15 Area,V16 Length,V16 Width,V16 Area,V17 Length,V17 Width,V17 Area,V18 Length,V18 Width,V18 Area,V19 Length,V19 Width,V19 Area,V20 Length,V20 Width,V20 Area
AS23-0758.02,WT,Block 1,12.1,1.4,12.705,16,2.4,28.8,21.1,2.9,45.8925,28.3,3.2,67.92,38.6,3.7,107.115,45,4.4,148.5,52.6,5.6,220.92,62.5,6.8,318.75,68.3,7.4,379.065,69.9,9.2,466.24,72.6,9.1,510.86,77.3,10.4,583.75,80.1,10.5,621.27,83.3,10.6,644.24,81.8,10.8,639.44,79.6,9.8,609.39,75.3,9,538.31,65.3,8.4,441.27,52.7,7,284.98
AS23-0758.03,WT,Block 1,12.3,1.4,12.915,16.9,2,25.35,18.6,2.5,34.875,26.8,2.9,58.29,32.5,3.6,87.75,40.9,4.1,125.7675,49.9,5.8,217.065,57,6,256.5,66.6,6.8,339.66,60.9,8.6,413.94,73.2,9.3,512.78,74.7,9.9,565.22,85.6,10.2,641.96,83.5,10.3,648.76,88.1,10.3,695.07,75.4,9.6,594.91,75.4,9,533.71,67.6,8,399.96,55,7.3,303.97
AS23-0758.05,WT,Block 1,12.1,1.6,14.52,16.4,2.1,25.83,20.2,2.7,40.905,28.4,3.1,66.03,34.4,3.6,92.88,43,4.2,135.45,48.5,5.7,207.3375,59.5,6,267.75,67.6,6.9,349.83,62,8.8,440.35,68.7,9.1,516.42,73.8,10,607.2,87.5,10,632.5,85.2,10.3,642.2,79.9,10,603.82,75.3,9.5,561.1,68.5,8.7,483.62,60.3,7.6,362.56,52.2,6.6,258.56
AS23-0758.06,WT,Block 1,11,1.4,11.55,14.4,1.8,19.44,20.7,2.5,38.8125,24.7,2.8,51.87,32.8,3.6,88.56,36.4,4.2,114.66,44,4.7,155.1,49.2,5.8,214.02,55.3,5.9,244.7025,56.3,7.7,315.78,60.5,8.1,386.55,68.7,8.7,443.25,74,9.2,490.57,71.5,8.9,476.73,76.9,9.8,550.37,70.2,9.6,510.78,66.4,9,467.15,61.3,8.2,399.95,63,7.1,305.49
AS23-0758.09,WT,Block 1,12.2,1.4,12.81,15,2.3,25.875,23.2,2.7,46.98,28,3,63,35.2,3.6,95.04,39.9,4.2,125.685,50.2,4.9,184.485,56.9,5.8,247.515,62.8,6.7,315.57,60.2,8.3,362.93,67.2,8.1,431.99,69.6,10,523.49,77.8,10.3,600.4,74.8,10.6,580.42,80.9,10.5,630.87,78.3,9.9,575.39,73.3,8.5,467.94,63.1,8.4,409.66,59.3,7.7,329.34
AS23-0758.10,WT,Block 1,11.1,1.4,11.655,15,2.1,23.625,19.7,2.6,38.415,26.7,3.1,62.0775,33.8,3.5,88.725,41.3,4.3,133.1925,48.6,4.9,178.605,53,5.9,234.525,64.1,6.9,331.7175,59,8.3,365.64,66.3,8.9,461.01,72.3,9.6,533.62,78.7,10.2,605.25,79.8,10.2,608.56,86.9,10.4,671.37,78.7,9.8,615.85,75.1,9.6,570.31,89.8,8.4,464.87,57.2,6.9,313.25
AS23-0758.11,WT,Block 1,12.2,1.5,13.725,15.3,2.3,26.3925,20,2.7,40.5,27.4,3.1,63.705,35.6,3.6,96.12,41.1,4.1,126.3825,51,5.3,202.725,57.1,6.7,286.9275,64.4,7.3,352.59,59.8,8.7,409.62,64.5,9.9,484.36,70.5,10.2,566.57,76.6,11.2,620.18,72.2,11.5,636.15,80,11.7,669.92,78.1,10.4,642.67,70.5,9.9,564.22,66.4,8.8,462.17,54.7,8.2,363.61
AS23-0758.15,WT,Block 1,11.8,1.4,12.39,17,2.1,26.775,21.2,2.5,39.75,28.9,2.9,62.8575,35.5,3.5,93.1875,44,4.2,138.6,50.1,5,187.875,59,6.1,269.925,67.2,7.1,357.84,63.6,8.8,422.96,71.5,9.3,515.44,76.6,9.8,560.86,82.4,10.1,609.19,82.9,10.2,624.69,86.7,10.5,659.6,82.6,9.3,615.98,75.2,8.8,536.67,65.1,8.2,429.35,53.6,6.8,294.49
AS23-0758.16,WT,Block 1,13.2,1.4,13.86,17.5,2,26.25,22,2.3,37.95,26.5,2.7,53.6625,35.3,3.4,90.015,39.5,3.9,115.5375,48.9,4.9,179.7075,58.8,5.7,251.37,68.9,6.9,356.5575,65.5,8.1,437.22,70.9,9,503.23,75.3,9.3,568.5,161.9,9.9,619.45,79.4,9.5,604,80.7,9.6,616.98,80.7,8.9,566.17,71.9,8,475.66,62.8,7.5,354.36,53.6,6.3,251.13
AS23-0758.17,WT,Block 1,11.8,1.5,13.275,16.1,2,24.15,19.6,2.4,35.28,25.1,2.7,50.8275,31.2,3.3,77.22,35.6,3.7,98.79,41.2,4.7,145.23,46.5,5.4,188.325,53.2,6,239.4,57.3,7.7,304.34,61.6,8.1,377.33,66.9,8.7,420.7,146.6,9.2,442.76,66.7,9.1,427.24,,,,66.7,8.8,450.03,60.1,9,407.77,60.4,7.9,376.53,51.9,6.8,260.55
